Gleda,21,gbelly0@intel.com,Point Guard,62,14
Constantina,20,cissacof1@gravatar.com,Shooting Guard,80,13
Rosalinde,22,rkeefe2@nymag.com,Point Guard,76,4
Leeann,22,lcajkler3@g.co,Power Forward,63,28
Rebekah,27,rstonestreet4@walmart.com,Power Forward,77,4
Tristan,24,tlippard5@vimeo.com,Small Forward,78,36
Rolando,27,rcrellim6@bbb.org,Center,82,36
Ansley,24,aberriball7@homestead.com,Shooting Guard,75,4
Sasha,25,skepe8@bandcamp.com,Center,79,28
Stanly,22,sbrownell9@theglobeandmail.com,Power Forward,66,40
Donia,26,dstodda@washingtonpost.com,Point Guard,71,45
Davy,23,dclerkb@webnode.com,Small Forward,66,50
Tully,25,tblakeneyc@webmd.com,Power Forward,71,17
Norton,28,nbramsomd@4shared.com,Point Guard,61,35
Tommi,25,tcollume@odnoklassniki.ru,Point Guard,79,17
Carlin,22,cluscottf@omniture.com,Power Forward,74,40
Bonnie,24,blibbeg@apple.com,Small Forward,71,3
Benoit,27,bfairbourneh@mozilla.com,Small Forward,71,36
Mahmoud,22,mtomiki@wunderground.com,Center,69,28
Kaleena,18,kflinnj@taobao.com,Shooting Guard,66,22
Ansel,20,arupkek@edublogs.org,Power Forward,69,33
Margery,24,msiemensl@infoseek.co.jp,Center,80,10
Loni,19,lvearem@spotify.com,Small Forward,62,8
Filberto,24,fmulqueenn@nbcnews.com,Small Forward,78,33
Gran,25,gfisho@pinterest.com,Small Forward,74,29
